CPU: 76.1%, Memory: 72.0%
CPU: 29.1%, Memory: 73.1%
CPU: 41.7%, Memory: 72.2%
CPU: 44.1%, Memory: 72.6%
CPU: 26.8%, Memory: 72.8%
CPU: 67.9%, Memory: 65.7%
CPU: 84.2%, Memory: 65.8%
CPU: 59.1%, Memory: 65.4%
CPU: 18.4%, Memory: 65.2%
CPU: 17.1%, Memory: 64.6%
CPU: 19.0%, Memory: 65.2%
CPU: 33.0%, Memory: 65.9%
CPU: 31.5%, Memory: 65.9%
CPU: 42.3%, Memory: 65.8%
CPU: 39.6%, Memory: 65.9%
CPU: 22.0%, Memory: 66.4%
CPU: 31.2%, Memory: 66.2%
CPU: 31.0%, Memory: 66.4%
CPU: 29.4%, Memory: 68.8%
CPU: 31.4%, Memory: 68.3%
CPU: 35.8%, Memory: 66.5%
CPU: 42.4%, Memory: 70.5%
CPU: 30.2%, Memory: 69.2%
CPU: 47.0%, Memory: 71.0%
CPU: 98.2%, Memory: 73.9%
CPU: 39.4%, Memory: 70.0%
CPU: 62.4%, Memory: 74.6%
CPU: 29.8%, Memory: 75.1%
CPU: 29.7%, Memory: 75.6%
CPU: 21.0%, Memory: 69.9%
CPU: 25.8%, Memory: 71.2%
CPU: 24.9%, Memory: 69.0%
CPU: 23.3%, Memory: 71.4%
CPU: 16.5%, Memory: 70.9%
CPU: 37.6%, Memory: 71.8%
CPU: 41.3%, Memory: 65.3%
CPU: 32.8%, Memory: 70.6%
CPU: 29.0%, Memory: 72.4%
CPU: 16.7%, Memory: 69.0%
CPU: 25.6%, Memory: 71.3%
CPU: 37.5%, Memory: 73.3%
CPU: 17.3%, Memory: 67.2%
CPU: 12.0%, Memory: 68.2%
CPU: 18.3%, Memory: 68.8%
CPU: 18.4%, Memory: 68.5%
CPU: 31.3%, Memory: 69.9%
CPU: 39.9%, Memory: 68.4%
CPU: 58.2%, Memory: 68.9%
CPU: 56.9%, Memory: 69.5%
CPU: 26.8%, Memory: 62.4%
CPU: 18.5%, Memory: 63.8%
CPU: 24.4%, Memory: 72.8%
CPU: 47.6%, Memory: 67.4%
CPU: 48.4%, Memory: 69.8%
CPU: 26.5%, Memory: 69.6%
CPU: 29.3%, Memory: 69.4%
CPU: 43.8%, Memory: 69.6%
CPU: 35.3%, Memory: 70.4%
CPU: 21.8%, Memory: 70.4%
CPU: 31.0%, Memory: 74.2%
CPU: 27.1%, Memory: 70.9%
CPU: 30.1%, Memory: 70.9%
CPU: 38.1%, Memory: 71.3%
CPU: 24.9%, Memory: 69.5%
CPU: 20.4%, Memory: 70.2%
CPU: 43.5%, Memory: 71.3%
CPU: 20.6%, Memory: 70.9%
CPU: 19.4%, Memory: 69.7%
CPU: 35.8%, Memory: 71.8%
CPU: 38.2%, Memory: 67.8%
CPU: 38.8%, Memory: 68.5%
CPU: 74.1%, Memory: 68.9%
CPU: 44.6%, Memory: 73.0%
CPU: 47.5%, Memory: 72.3%
CPU: 28.0%, Memory: 63.8%
CPU: 31.0%, Memory: 68.6%
CPU: 24.3%, Memory: 68.5%
CPU: 73.4%, Memory: 70.5%
CPU: 37.2%, Memory: 71.3%
CPU: 46.2%, Memory: 71.9%
CPU: 58.3%, Memory: 73.1%
CPU: 30.9%, Memory: 71.8%
CPU: 27.7%, Memory: 72.7%
CPU: 26.4%, Memory: 74.0%
CPU: 47.7%, Memory: 72.9%
CPU: 35.2%, Memory: 73.7%
CPU: 33.8%, Memory: 73.6%
CPU: 55.4%, Memory: 73.8%
CPU: 47.3%, Memory: 74.9%
CPU: 35.1%, Memory: 75.5%
CPU: 23.1%, Memory: 76.8%
CPU: 24.8%, Memory: 73.0%
CPU: 30.7%, Memory: 74.6%
CPU: 30.5%, Memory: 71.0%
CPU: 33.2%, Memory: 71.2%
CPU: 23.9%, Memory: 72.7%
CPU: 31.0%, Memory: 71.2%
CPU: 89.7%, Memory: 73.0%
CPU: 88.8%, Memory: 73.9%
CPU: 30.7%, Memory: 73.6%
CPU: 36.9%, Memory: 73.9%
CPU: 83.2%, Memory: 74.3%
CPU: 20.4%, Memory: 73.6%
CPU: 89.0%, Memory: 75.9%
CPU: 94.1%, Memory: 78.4%
CPU: 27.3%, Memory: 67.6%
CPU: 21.7%, Memory: 67.7%
CPU: 36.1%, Memory: 70.5%
CPU: 11.4%, Memory: 71.0%
CPU: 27.8%, Memory: 70.3%
CPU: 53.0%, Memory: 74.8%
CPU: 91.7%, Memory: 73.3%
CPU: 82.0%, Memory: 69.9%
CPU: 37.6%, Memory: 70.4%
CPU: 41.1%, Memory: 72.3%
CPU: 38.8%, Memory: 71.7%
CPU: 99.0%, Memory: 78.0%
CPU: 43.4%, Memory: 73.3%
CPU: 93.0%, Memory: 72.5%
CPU: 23.6%, Memory: 67.5%
CPU: 32.4%, Memory: 67.6%
CPU: 24.2%, Memory: 67.7%
CPU: 23.1%, Memory: 67.6%
CPU: 19.3%, Memory: 67.2%
CPU: 49.1%, Memory: 67.7%
CPU: 19.3%, Memory: 67.6%
CPU: 26.3%, Memory: 70.3%
CPU: 39.1%, Memory: 70.9%
CPU: 35.0%, Memory: 73.7%
CPU: 25.9%, Memory: 72.4%
CPU: 26.0%, Memory: 76.7%
CPU: 63.0%, Memory: 69.4%
CPU: 29.0%, Memory: 68.5%
CPU: 24.4%, Memory: 68.2%
CPU: 56.9%, Memory: 69.0%
CPU: 23.0%, Memory: 69.0%
CPU: 91.0%, Memory: 67.2%
CPU: 18.1%, Memory: 66.1%
CPU: 18.5%, Memory: 66.2%
CPU: 39.5%, Memory: 66.2%
CPU: 23.6%, Memory: 66.7%
CPU: 94.5%, Memory: 69.6%
CPU: 23.9%, Memory: 68.9%
CPU: 20.8%, Memory: 67.7%
CPU: 22.2%, Memory: 67.3%
CPU: 13.2%, Memory: 67.5%
CPU: 16.5%, Memory: 70.0%
CPU: 31.8%, Memory: 70.4%
CPU: 33.8%, Memory: 67.1%
CPU: 33.2%, Memory: 67.6%
CPU: 77.7%, Memory: 69.7%
CPU: 65.9%, Memory: 70.1%
CPU: 43.0%, Memory: 70.0%
CPU: 7.2%, Memory: 68.9%
CPU: 52.1%, Memory: 71.8%
CPU: 20.0%, Memory: 72.3%
CPU: 29.4%, Memory: 72.6%
CPU: 44.3%, Memory: 71.1%
CPU: 85.5%, Memory: 69.7%
CPU: 31.3%, Memory: 70.7%
CPU: 23.5%, Memory: 73.8%
CPU: 24.1%, Memory: 72.5%
CPU: 24.7%, Memory: 72.3%
CPU: 16.2%, Memory: 71.6%
CPU: 87.5%, Memory: 62.7%
CPU: 97.8%, Memory: 65.0%
CPU: 33.8%, Memory: 69.9%
CPU: 30.2%, Memory: 70.1%
CPU: 28.9%, Memory: 67.7%
CPU: 33.3%, Memory: 67.8%
CPU: 30.9%, Memory: 68.6%
CPU: 34.0%, Memory: 68.5%
CPU: 25.7%, Memory: 68.3%
CPU: 33.2%, Memory: 68.0%
CPU: 77.5%, Memory: 77.1%
CPU: 73.2%, Memory: 71.8%
